Id,SalePrice
1461,117729.45659789143
1462,155357.40632441227
1463,167036.17558774285
1464,182428.13294785473
1465,212727.10685633254
1466,174360.15834895254
1467,158472.28633728702
1468,170995.08641890806
1469,193663.44305928017
1470,113368.22003635777
1471,200015.81744637253
1472,107479.28210178227
1473,102564.32723741137
1474,158290.7716258622
1475,132649.1988769412
1476,384154.48989755404
1477,271315.9053936049
1478,309858.14884474635
1479,299339.515052897
1480,519986.60035752505
1481,331410.5879031221
1482,228003.9273487432
1483,174205.05810867992
1484,162782.99032097013
1485,170944.98535371773
1486,200576.69058080288
1487,344421.96035308315
1488,267319.59237957187
1489,196049.38845428254
1490,202890.85590523854
1491,187277.5707769951
1492,107590.8399427465
1493,161196.0990044666
1494,309989.47420024604
1495,306667.94651307946
1496,219500.4670657404
1497,200788.9452517323
1498,165414.5105925837
1499,167603.05599448996
1500,157619.16855336132
1501,173613.17424290988
1502,161184.4233983953
1503,270104.30631898064
1504,237868.19264559596
1505,216697.43524553467
1506,202600.98486802625
1507,241814.03633682424
1508,190368.71806835177
1509,162871.52962182977
1510,143389.6904574248
1511,141883.6753135309
1512,160757.27459976677
1513,140084.2811971442
1514,141016.20166379603
1515,210542.23674385008
1516,158989.9368229563
1517,146979.38383854972
1518,166746.26890204314
1519,202922.42140398233
1520,131504.3359810198
1521,135363.11761363913
1522,187756.61513380907
1523,119855.43927155717
1524,120935.92568000157
1525,120790.65723081087
1526,105207.92068772014
1527,100663.37997778236
1528,135317.28986804833
1529,141234.46418667075
1530,176950.25223384806
1531,108019.0894822317
1532,101832.15182291012
1533,141721.97484952197
1534,124103.03345280135
1535,141063.72771553908
1536,113289.72399950623
1537,72885.16215462542
1538,129297.58635744201
1539,166247.10330481315
1540,120161.04263785893
1541,134328.4513661824
1542,139863.52054043126
1543,190799.45995579966
1544,91535.84161117066
1545,105484.18041639008
1546,140007.98834339916
1547,138251.33891831955
1548,137933.20479244494
1549,113761.38708262995
1550,140617.2262751335
1551,124484.53484997015
1552,138166.6931414874
1553,122223.64006989753
1554,118903.08040265256
1555,189007.14301091188
1556,126202.21528257313
1557,121809.11217030007
1558,114800.39451419149
1559,102565.53780070753
1560,141849.63134202475
1561,160138.17055386142
1562,120276.28158073513
1563,119618.77662220153
1564,173725.80118577936
1565,155275.32840380736
1566,228617.7036893688
1567,100679.37317212444
1568,224245.51537236595
1569,116591.50416440603
1570,125908.91321645974
1571,123191.16486697685
1572,126242.74297836471
1573,229001.85503648638
1574,140542.06443425114
1575,210682.57453353293
1576,211989.74720251845
1577,186063.74060249198
1578,130605.7438959779
1579,136616.5529437772
1580,201444.39979886307
1581,131876.93189601108
1582,128618.62328018143
1583,312176.960683377
1584,232859.67649220166
1585,143062.95921294668
1586,72331.29003011159
1587,91352.2344591157
1588,131142.7099941855
1589,97683.25286928048
1590,141014.6474959112
1591,100672.6513373216
1592,128854.30620023527
1593,128762.56348451338
1594,140944.79058080114
1595,134926.03111637206
1596,252027.0004047687
1597,194968.47259091743
1598,196050.8277280145
1599,168955.04597202162
1600,182388.71605835564
1601,62246.42925968786
1602,100448.54557664017
1603,74036.53465881976
1604,274125.63673796464
1605,252295.64523549608
1606,167844.52638743818
1607,221301.35013030088
1608,221741.72719133148
1609,199540.44270909787
1610,146564.52599820629
1611,148194.6195681937
1612,167080.9222749895
1613,167176.8473958248
1614,112658.02102916292
1615,90859.23218033409
1616,91937.49111988516
1617,97366.49137790859
1618,118068.363976634
1619,122750.93519721126
1620,201743.9597781234
